case_id,lang,topic,case_text,resolution,status,closed_at,synthetic
CASE-000050,en,lighting,The walkway lights are not working at Al Olaya,The lighting unit was replaced and tested,resolved,2025-02-03T01:00,True
CASE-000051,ar,waste,الحاوية ممتلئة في جدة ولم تُفرغ منذ 8 أيام 😡,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-02-03T02:00,True
CASE-000052,ar,water,انقطاع المياه مستمر في جدة منذ الصباح,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-02-03T03:00,True
CASE-000053,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-02-03T04:00,True
CASE-000054,en,digital_services,The verification code for Water Services never reaches my phone,The account was refreshed and sign-in was restored,resolved,2025-02-03T05:00,True
CASE-000055,en,licensing,I need clarification on the documents required for Maintenance Appointments,The documents were reviewed and the request status was updated,resolved,2025-02-03T06:00,True
CASE-000056,ar,parks,ألعاب الأطفال في حديقة طريق الملك فهد تحتاج صيانة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-02-03T07:00,True
CASE-000057,ar,roads,حفرة في الطريق أمام طريق الملك فهد منذ 14 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-02-03T08:00,True
CASE-000058,ar,lighting,الشارع مظلم قرب الرياض ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-02-03T09:00,True
CASE-000059,en,waste,The waste bin at Dammam has not been emptied for 16 days,A new collection point was added for the area,resolved,2025-02-03T10:00,True
CASE-000060,en,water,Water pressure is very low in Jeddah,The fault was fixed and water service was gradually restored,resolved,2025-02-03T11:00,True
CASE-000061,ar,billing,الرسوم في خدمة خدمات المياه غير واضحة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-02-03T12:00,True
CASE-000062,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة خدمات المياه <PHONE> <NATIONAL_ID>,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-02-03T13:00,True
CASE-000063,ar,licensing,أحتاج توضيح المستندات المطلوبة لترخيص بلدي,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2025-02-03T14:00,True
CASE-000064,en,parks,Irrigation is not working in Jeddah park — very frustrating 😡,The issue was assigned to the parks team and repaired,resolved,2025-02-03T15:00,True
CASE-000065,en,roads,There is a pothole near Tahlia Street for 1 days,The site was inspected and road maintenance was scheduled,resolved,2025-02-03T16:00,True
CASE-000066,ar,lighting,ألشارع مظلم قرب حي العليا ونحتاج إصلاح الإنارة <br>,تم استبدال وحدة الإنارة واختبارها,resolved,2025-02-03T17:00,True
CASE-000067,ar,waste,نحتاج حاوية إضافية في طريق الملك فهد,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-02-03T18:00,True
CASE-000068,ar,water,يوجد تسرب مياه في الرياض والبلاغ رقم BYN-2026-050067,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-02-03T19:00,True
CASE-000069,en,billing,I paid the bill but it still shows as unpaid,The invoice was reviewed and the fees were corrected,resolved,2025-02-03T20:00,True
CASE-000070,en,digital_services,The verification code for My Licence never reaches my phone,The technical issue was fixed and the verification code was resent,resolved,2025-02-03T21:00,True
CASE-000071,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-050070,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2025-02-03T22:00,True
CASE-000072,ar,parks,ألعاب الأطفال في حديقة حي العليا تحتاج صيانة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-02-03T23:00,True
CASE-000073,ar,roads,الطريق المؤدي إلى حي العليا يحتاج صيانة عاجلة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-02-04T00:00,True
CASE-000074,en,lighting,The street is dark near Jeddah and the lighting needs repair,The lighting unit was replaced and tested,resolved,2025-02-04T01:00,True
CASE-000075,en,waste,We need an additional waste container at Al Narjis,The container was emptied and the collection schedule was updated,resolved,2025-02-04T02:00,True
CASE-000076,ar,water,انقطاع المياه مستمر في جدة منذ الصباح,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-02-04T03:00,True
CASE-000077,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة 😡,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-02-04T04:00,True
CASE-000078,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة بلدي,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-02-04T05:00,True
CASE-000079,en,licensing,I need clarification on the documents required for Balady,The licensing team contacted the applicant for the missing document,resolved,2025-02-04T06:00,True
CASE-000080,en,parks,Irrigation is not working in Jeddah park,The issue was assigned to the parks team and repaired,resolved,2025-02-04T07:00,True
CASE-000081,ar,roads,الطريق المؤدي إلى حي النرجس يحتاج صيانة عاجلة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2025-02-04T08:00,True
CASE-000082,ar,lighting,عمود الإنارة معطل في الرياض منذ أسبوعين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-02-04T09:00,True
CASE-000083,ar,waste,نحتاج حاوية إضافية في حي النرجس,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-02-04T10:00,True
CASE-000084,en,water,Water has been unavailable in Al Narjis since this morning,The leak was repaired and network pressure was restored,resolved,2025-02-04T11:00,True
CASE-000085,en,billing,I PAID THE BILL BUT IT STILL SHOWS AS UNPAID,The invoice was reviewed and the fees were corrected,resolved,2025-02-04T12:00,True
CASE-000086,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة بوابة المرافق,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-02-04T13:00,True
CASE-000087,ar,licensing,طلب ترخيص مواعيد الصيانة متوقف عند المراجعة منذ 2 أيام,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-04T14:00,True
CASE-000088,ar,parks,الممر في حديقة حي النرجس غير مناسب للكراسي المتحركة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-02-04T15:00,True
CASE-000089,en,roads,There is a pothole near Al Narjis for 4 days,The site was inspected and road maintenance was scheduled,resolved,2025-02-04T16:00,True
CASE-000090,en,lighting,The walkway lights are not working at King Fahd Road — very frustrating 😡,The lighting unit was replaced and tested,resolved,2025-02-04T17:00,True
CASE-000091,ar,waste,الحاوية ممتلئة في شارع التحلية ولم تُفرغ منذ 6 أيام,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-02-04T18:00,True
CASE-000092,ar,water,يوجد تسرب مياه في شارع التحلية والبلاغ رقم BYN-2026-050091,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-02-04T19:00,True
CASE-000093,ar,billing,الرسوم في خدمة بلدي غير واضحة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-02-04T20:00,True
CASE-000094,en,digital_services,The Facilities Portal app crashes during sign-in,The account was refreshed and sign-in was restored,resolved,2025-02-04T21:00,True
CASE-000095,en,licensing,My Water Services licence request has been under review for 10 days,The licensing team contacted the applicant for the missing document,resolved,2025-02-04T22:00,True
CASE-000096,ar,parks,الممر في حديقة حي الياسمين غير مناسب للكراسي المتحركة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-02-04T23:00,True
CASE-000097,ar,roads,الطريق المؤدي إلى الدمام يحتاج صيانة عاجلة <br>,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-02-05T00:00,True
CASE-000098,ar,lighting,إنارة الممر لا تعمل عند حي العليا,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-02-05T01:00,True
CASE-000099,en,waste,The waste bin at King Fahd Road has not been emptied for 14 days <PHONE>,The container was emptied and the collection schedule was updated,resolved,2025-02-05T02:00,True
CASE-000100,en,water,Water has been unavailable in Al Olaya since this morning,The leak was repaired and network pressure was restored,resolved,2025-02-05T03:00,True
CASE-000101,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-050100,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-02-05T04:00,True
CASE-000102,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في بلدي,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-02-05T05:00,True
CASE-000103,ar,licensing,طلب ترخيص خدمات المياه متوقف عند المراجعة منذ 18 أيام 😡 <NATIONAL_ID>,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-05T06:00,True
CASE-000104,en,parks,IRRIGATION IS NOT WORKING IN AL NARJIS PARK,The site was maintained and the affected area was reopened,resolved,2025-02-05T07:00,True
CASE-000105,en,roads,The road leading to Al Olaya needs urgent maintenance,The site was inspected and road maintenance was scheduled,resolved,2025-02-05T08:00,True
CASE-000106,ar,lighting,إنارة الممر لا تعمل عند حي الياسمين,تم استبدال وحدة الإنارة واختبارها,resolved,2025-02-05T09:00,True
CASE-000107,ar,waste,نحتاج حاوية إضافية في حي النرجس,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-02-05T10:00,True
CASE-000108,ar,water,ضغط المياه منخفض جداً في الرياض,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-02-05T11:00,True
CASE-000109,en,billing,Incorrect fees were charged on invoice BYN-2025-050108,The invoice was reviewed and the fees were corrected,resolved,2025-02-05T12:00,True
CASE-000110,en,digital_services,An error appears when I upload a document in Facilities Portal,The technical issue was fixed and the verification code was resent,resolved,2025-02-05T13:00,True
CASE-000111,ar,licensing,طلب ترخيص خدمات المياه متوقف عند المراجعة منذ 5 أيام,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2025-02-05T14:00,True
CASE-000112,ar,parks,الممر في حديقة الرياض غير مناسب للكراسي المتحركة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-02-05T15:00,True
CASE-000113,ar,roads,لووووسمحت حفرة في الطريق أمام جدة منذ 7 أيام,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2025-02-05T16:00,True
CASE-000114,en,lighting,The walkway lights are not working at King Fahd Road,The maintenance team repaired the wiring and restored service,resolved,2025-02-05T17:00,True
CASE-000115,en,waste,The waste bin at Al Narjis has not been emptied for 9 days,The container was emptied and the collection schedule was updated,resolved,2025-02-05T18:00,True
CASE-000116,ar,water,ضغط المياه منخفض جداً في حي العليا 😡,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-02-05T19:00,True
CASE-000117,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-050116,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-02-05T20:00,True
CASE-000118,ar,digital_services,تطبيق مواعيد الصيانة يتوقف عند تسجيل الدخول,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-02-05T21:00,True
CASE-000119,en,licensing,My Facilities Portal licence request has been under review for 13 days,The documents were reviewed and the request status was updated,resolved,2025-02-05T22:00,True
CASE-000120,en,parks,Irrigation is not working in Al Olaya park,The site was maintained and the affected area was reopened,resolved,2025-02-05T23:00,True
CASE-000121,ar,roads,حفرة في الطريق أمام جدة منذ 15 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-02-06T00:00,True
CASE-000122,ar,lighting,عمود الإنارة معطل في الرياض منذ أسبوعين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-02-06T01:00,True
CASE-000123,ar,waste,ألحاوية ممتلئة في الرياض ولم تُفرغ منذ 17 أيام,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-02-06T02:00,True
CASE-000124,en,water,There is a water leak at Al Yasmin; reference BYN-2026-050123,The fault was fixed and water service was gradually restored,resolved,2025-02-06T03:00,True
CASE-000125,en,billing,Incorrect fees were charged on invoice BYN-2025-050124,The invoice was reviewed and the fees were corrected,resolved,2025-02-06T04:00,True
CASE-000126,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في خدمات المياه,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-02-06T05:00,True
CASE-000127,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-050126,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-06T06:00,True
CASE-000128,ar,parks,الممر في حديقة حي النرجس غير مناسب للكراسي المتحركة <br>,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-02-06T07:00,True
CASE-000129,en,roads,Damaged asphalt near King Fahd Road is making driving unsafe — very frustrating 😡,The site was inspected and road maintenance was scheduled,resolved,2025-02-06T08:00,True
CASE-000130,en,lighting,The streetlight at Tahlia Street has been out for two weeks,The lighting unit was replaced and tested,resolved,2025-02-06T09:00,True
CASE-000131,ar,waste,الحاوية ممتلئة في شارع التحلية ولم تُفرغ منذ 4 أيام,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-02-06T10:00,True
CASE-000132,ar,water,يوجد تسرب مياه في حي النرجس والبلاغ رقم BYN-2026-050131,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-02-06T11:00,True
CASE-000133,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-02-06T12:00,True
CASE-000134,en,digital_services,An error appears when I upload a document in Facilities Portal,The account was refreshed and sign-in was restored,resolved,2025-02-06T13:00,True
CASE-000135,en,licensing,Request BYN-2025-050134 has not changed status,The licensing team contacted the applicant for the missing document,resolved,2025-02-06T14:00,True
CASE-000136,ar,parks,الري متوقف في حديقة طريق الملك فهد <PHONE>,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-02-06T15:00,True
CASE-000137,ar,roads,حفرة في الطريق أمام حي النرجس منذ 10 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-02-06T16:00,True
CASE-000138,ar,lighting,الشارع مظلم قرب شارع التحلية ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-02-06T17:00,True
CASE-000139,en,waste,We need an additional waste container at Tahlia Street,A new collection point was added for the area,resolved,2025-02-06T18:00,True
CASE-000140,en,water,There is a water leak at Jeddah; reference BYN-2026-050139,The leak was repaired and network pressure was restored,resolved,2025-02-06T19:00,True
CASE-000141,ar,billing,الرسوم في خدمة بوابة المرافق غير واضحة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-02-06T20:00,True
CASE-000142,ar,digital_services,لووووسمحت ظهرت رسألة خطأ عند رفع المستند في بلدي 😡,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-02-06T21:00,True
CASE-000143,ar,licensing,طلب ترخيص رخصتي متوقف عند المراجعة منذ 16 أيام,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-06T22:00,True
CASE-000144,en,parks,The playground equipment at Riyadh needs maintenance <NATIONAL_ID>,The issue was assigned to the parks team and repaired,resolved,2025-02-06T23:00,True
CASE-000145,en,roads,The road leading to Dammam needs urgent maintenance,The case was assigned to the roads team and the pothole was repaired,resolved,2025-02-07T00:00,True
CASE-000146,ar,lighting,عمود الإنارة معطل في الرياض منذ أسبوعين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-02-07T01:00,True
CASE-000147,ar,waste,تراكمت النفايات قرب الرياض وتسبب رائحة قوية,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-02-07T02:00,True
CASE-000148,ar,water,يوجد تسرب مياه في طريق الملك فهد والبلاغ رقم BYN-2026-050147,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-02-07T03:00,True
CASE-000149,en,billing,I paid the bill but it still shows as unpaid,The invoice was reviewed and the fees were corrected,resolved,2025-02-07T04:00,True
CASE-000150,en,digital_services,The verification code for Facilities Portal never reaches my phone,The account was refreshed and sign-in was restored,resolved,2025-02-07T05:00,True
CASE-000151,ar,licensing,أحتاج توضيح المستندات المطلوبة لترخيص بوابة المرافق,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-07T06:00,True
CASE-000152,ar,parks,ألعاب الأطفال في حديقة الدمام تحتاج صيانة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-02-07T07:00,True
CASE-000153,ar,roads,حفرة في الطريق أمام حي النرجس منذ 5 أيام,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2025-02-07T08:00,True
CASE-000154,en,lighting,The street is dark near Al Yasmin and the lighting needs repair,The maintenance team repaired the wiring and restored service,resolved,2025-02-07T09:00,True
CASE-000155,en,waste,The waste bin at Dammam has not been emptied for 7 days — very frustrating 😡,A new collection point was added for the area,resolved,2025-02-07T10:00,True
CASE-000156,ar,water,انقطاع المياه مستمر في طريق الملك فهد منذ الصباح,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-02-07T11:00,True
CASE-000157,ar,billing,الرسوم في خدمة بوابة المرافق غير واضحة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-02-07T12:00,True
CASE-000158,ar,digital_services,تطبيق بوابة المرافق يتوقف عند تسجيل الدخول,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-02-07T13:00,True
CASE-000159,en,licensing,My Water Services licence request has been under review for 11 days <br>,The documents were reviewed and the request status was updated,resolved,2025-02-07T14:00,True
CASE-000160,en,parks,The path at Tahlia Street is not wheelchair accessible,The issue was assigned to the parks team and repaired,resolved,2025-02-07T15:00,True
CASE-000161,ar,roads,حفرة في ألطريق أمام شارع التحلية منذ 13 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-02-07T16:00,True
CASE-000162,ar,lighting,إنارة الممر لا تعمل عند حي العليا,تم استبدال وحدة الإنارة واختبارها,resolved,2025-02-07T17:00,True
CASE-000163,ar,waste,الحاوية ممتلئة في الرياض ولم تُفرغ منذ 15 أيام,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-02-07T18:00,True
CASE-000164,en,water,There is a water leak at King Fahd Road; reference BYN-2026-050163,The fault was fixed and water service was gradually restored,resolved,2025-02-07T19:00,True
CASE-000165,en,billing,The fees for My Licence are unclear,The invoice was reviewed and the fees were corrected,resolved,2025-02-07T20:00,True
CASE-000166,ar,digital_services,تطبيق رخصتي يتوقف عند تسجيل الدخول,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-02-07T21:00,True
CASE-000167,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-050166,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-07T22:00,True
CASE-000168,ar,parks,الممر في حديقة الرياض غير مناسب للكراسي المتحركة 😡,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-02-07T23:00,True
CASE-000169,en,roads,The road leading to Al Narjis needs urgent maintenance,The case was assigned to the roads team and the pothole was repaired,resolved,2025-02-08T00:00,True
CASE-000170,en,lighting,The street is dark near Dammam and the lighting needs repair,The maintenance team repaired the wiring and restored service,resolved,2025-02-08T01:00,True
CASE-000171,ar,waste,لووووسمحت تراكمت النفايات قرب شارع التحلية وتسبب رائحة قوية,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-02-08T02:00,True
CASE-000172,ar,water,انقطاع المياه مستمر في جدة منذ الصباح,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-02-08T03:00,True
CASE-000173,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة <PHONE>,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-02-08T04:00,True
CASE-000174,en,digital_services,The verification code for My Licence never reaches my phone,The technical issue was fixed and the verification code was resent,resolved,2025-02-08T05:00,True
CASE-000175,en,licensing,Request BYN-2025-050174 has not changed status,The licensing team contacted the applicant for the missing document,resolved,2025-02-08T06:00,True
