feedback_id,created_at,citizen_group_id,lang,dialect_region,topic,sentiment,channel,city,text,split,synthetic
FB-000020,2025-01-03T09:00,CG-00019,en,NA,water,positive,chat,Al Olaya,THERE IS A WATER LEAK AT DAMMAM; REFERENCE BYN-2026-000019,test,True
FB-000021,2025-01-03T12:00,CG-00020,ar,Gulf,billing,negative,web,حي الياسمين,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,train,True
FB-000022,2025-01-03T15:00,CG-00021,ar,Gulf,digital_services,negative,mobile,شارع التحلية,لا يصل رمز التحقق إلى هاتفي لخدمة بوابة المرافق,train,True
FB-000023,2025-01-03T18:00,CG-00022,ar,Gulf,licensing,negative,call_centre,الدمام,أحتاج توضيح المستندات المطلوبة لترخيص بلدي,train,True
FB-000024,2025-01-03T21:00,CG-00023,en,NA,parks,neutral,chat,Dammam,Irrigation is not working in Tahlia Street park,train,True
FB-000025,2025-01-04T00:00,CG-00024,en,NA,roads,positive,web,Jeddah,There is a pothole near Jeddah for 4 days,train,True
FB-000026,2025-01-04T03:00,CG-00025,ar,Gulf,lighting,negative,mobile,الرياض,عمود الإنارة معطل في حي الياسمين منذ أسبوعين,train,True
FB-000027,2025-01-04T06:00,CG-00026,ar,MSA,waste,negative,call_centre,جدة,الحاوية ممتلئة في الرياض ولم تُفرغ منذ 6 أيام 😡,train,True
FB-000028,2025-01-04T09:00,CG-00027,ar,MSA,water,negative,chat,شارع التحلية,ضغط المياه منخفض جداً في طريق الملك فهد,validation,True
FB-000029,2025-01-04T12:00,CG-00028,en,NA,billing,neutral,web,Dammam,The fees for Balady are unclear,validation,True
FB-000030,2025-01-04T15:00,CG-00029,en,NA,digital_services,positive,mobile,King Fahd Road,The verification code for Facilities Portal never reaches my phone,test,True
FB-000031,2025-01-04T18:00,CG-00030,ar,Gulf,licensing,negative,call_centre,جدة,أحتاج توضيح المستندات المطلوبة لترخيص خدمات المياه,train,True
FB-000032,2025-01-04T21:00,CG-00031,ar,Gulf,parks,negative,chat,شارع التحلية,الممر في حديقة شارع التحلية غير مناسب للكراسي المتحركة  ,train,True
FB-000033,2025-01-05T00:00,CG-00032,ar,Gulf,roads,negative,web,طريق الملك فهد,الأسفلت متضرر قرب جدة والقيادة أصبحت خطرة,train,True
FB-000034,2025-01-05T03:00,CG-00033,en,NA,lighting,neutral,mobile,Al Narjis,The walkway lights are not working at Al Yasmin,train,True
FB-000035,2025-01-05T06:00,CG-00034,en,NA,waste,positive,call_centre,Dammam,The waste bin at King Fahd Road has not been emptied for 14 days,train,True
FB-000036,2025-01-05T09:00,CG-00035,ar,Gulf,water,negative,chat,حي النرجس,يوجد تسرب مياه في الدمام والبلاغ رقم BYN-2026-000035,train,True
FB-000037,2025-01-05T12:00,CG-00036,ar,MSA,billing,negative,web,حي النرجس,الرسوم في خدمة مواعيد الصيانة غير واضحة,train,True
FB-000038,2025-01-05T15:00,CG-00037,ar,MSA,digital_services,negative,mobile,طريق الملك فهد,تطبيق خدمات المياه يتوقف عند تسجيل الدخول <PHONE>,validation,True
FB-000039,2025-01-05T18:00,CG-00038,en,NA,licensing,neutral,call_centre,Dammam,MY MY LICENCE LICENCE REQUEST HAS BEEN UNDER REVIEW FOR 18 DAYS,validation,True
FB-000040,2025-01-05T21:00,CG-00039,en,NA,parks,positive,chat,Al Narjis,Irrigation is not working in Tahlia Street park — very frustrating 😡,test,True
FB-000041,2025-01-06T00:00,CG-00040,ar,Gulf,roads,negative,web,الرياض,الأسفلت متضرر قرب حي الياسمين والقيادة أصبحت خطرة,train,True
FB-000042,2025-01-06T03:00,CG-00041,ar,Gulf,lighting,negative,mobile,طريق الملك فهد,إنارة الممر لا تعمل عند طريق الملك فهد <NATIONAL_ID>,train,True
FB-000043,2025-01-06T06:00,CG-00042,ar,Gulf,waste,negative,call_centre,حي الياسمين,الحاوية ممتلئة في حي النرجس ولم تُفرغ منذ 1 أيام,train,True
FB-000044,2025-01-06T09:00,CG-00043,en,NA,water,neutral,chat,Jeddah,Water pressure is very low in Jeddah,train,True
FB-000045,2025-01-06T12:00,CG-00044,en,NA,billing,positive,web,King Fahd Road,Incorrect fees were charged on invoice BYN-2025-000044,train,True
FB-000046,2025-01-06T15:00,CG-00045,ar,Gulf,digital_services,negative,mobile,الرياض,تطبيق خدمات المياه يتوقف عند تسجيل الدخول,train,True
FB-000047,2025-01-06T18:00,CG-00046,ar,MSA,licensing,negative,call_centre,شارع التحلية,طلب ترخيص بلدي متوقف عند المراجعة منذ 5 أيام,train,True
FB-000048,2025-01-06T21:00,CG-00047,ar,MSA,parks,negative,chat,حي النرجس,ألعاب الأطفال في حديقة طريق الملك فهد تحتاج صيانة,validation,True
FB-000049,2025-01-07T00:00,CG-00048,en,NA,roads,neutral,web,Dammam,There is a pothole near Al Narjis for 7 days,validation,True
FB-000050,2025-01-07T03:00,CG-00049,en,NA,lighting,positive,mobile,Al Narjis,The walkway lights are not working at Al Narjis,test,True
FB-000051,2025-01-07T06:00,CG-00050,ar,Gulf,waste,negative,call_centre,الدمام,نحتاج حاوية إضافية في الرياض,train,True
FB-000052,2025-01-07T09:00,CG-00051,ar,Gulf,water,negative,chat,طريق الملك فهد,يوجد تسرب مياه في شارع التحلية والبلاغ رقم BYN-2026-000051,train,True
FB-000053,2025-01-07T12:00,CG-00052,ar,Gulf,billing,negative,web,جدة,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-000052 😡,train,True
FB-000054,2025-01-07T15:00,CG-00053,en,NA,digital_services,neutral,mobile,Al Narjis,The verification code for My Licence never reaches my phone,train,True
FB-000055,2025-01-07T18:00,CG-00054,en,NA,licensing,positive,call_centre,Riyadh,I need clarification on the documents required for Facilities Portal,train,True
FB-000056,2025-01-07T21:00,CG-00055,ar,Gulf,parks,negative,chat,حي النرجس,الممر في حديقة حي الياسمين غير مناسب للكراسي المتحركة,train,True
FB-000057,2025-01-08T00:00,CG-00056,ar,MSA,roads,negative,web,حي الياسمين,الأسفلت متضرر قرب شارع التحلية والقيادة أصبحت خطرة,train,True
FB-000058,2025-01-08T03:00,CG-00057,ar,MSA,lighting,negative,mobile,الدمام,عمود ألإنارة معطل في حي النرجس منذ أسبوعين,validation,True
FB-000059,2025-01-08T06:00,CG-00058,en,NA,waste,neutral,call_centre,Tahlia Street,We need an additional waste container at Tahlia Street,validation,True
FB-000060,2025-01-08T09:00,CG-00059,en,NA,water,positive,chat,Jeddah,Water pressure is very low in Al Olaya,test,True
FB-000061,2025-01-08T12:00,CG-00060,ar,Gulf,billing,negative,web,شارع التحلية,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,train,True
FB-000062,2025-01-08T15:00,CG-00061,ar,Gulf,digital_services,negative,mobile,جدة,ظهرت رسالة خطأ عند رفع المستند في خدمات المياه,train,True
FB-000063,2025-01-08T18:00,CG-00062,ar,Gulf,licensing,negative,call_centre,طريق الملك فهد,لم تتغير حالة الطلب رقم BYN-2025-000062  ,train,True
FB-000064,2025-01-08T21:00,CG-00063,en,NA,parks,neutral,chat,Tahlia Street,The path at Tahlia Street is not wheelchair accessible,train,True
FB-000065,2025-01-09T00:00,CG-00064,en,NA,roads,positive,web,King Fahd Road,There is a pothole near King Fahd Road for 2 days,train,True
FB-000066,2025-01-09T03:00,CG-00065,ar,Gulf,lighting,negative,mobile,جدة,إنارة الممر لا تعمل عند حي النرجس 😡,train,True
FB-000067,2025-01-09T06:00,CG-00066,ar,MSA,waste,negative,call_centre,حي النرجس,الحاوية ممتلئة في حي الياسمين ولم تُفرغ منذ 4 أيام,train,True
FB-000068,2025-01-09T09:00,CG-00067,ar,MSA,water,negative,chat,حي الياسمين,يوجد تسرب مياه في الرياض والبلاغ رقم BYN-2026-000067,validation,True
FB-000069,2025-01-09T12:00,CG-00068,en,NA,billing,neutral,web,King Fahd Road,The fees for My Licence are unclear,validation,True
FB-000070,2025-01-09T15:00,CG-00069,en,NA,digital_services,positive,mobile,Dammam,An error appears when I upload a document in Balady,test,True
FB-000071,2025-01-09T18:00,CG-00070,ar,Gulf,licensing,negative,call_centre,جدة,لم تتغير حالة الطلب رقم BYN-2025-000070,train,True
FB-000072,2025-01-09T21:00,CG-00071,ar,Gulf,parks,negative,chat,طريق الملك فهد,الري متوقف في حديقة حي العليا,train,True
FB-000073,2025-01-10T00:00,CG-00072,ar,Gulf,roads,negative,web,طريق الملك فهد,حفرة في الطريق أمام الدمام منذ 10 أيام,train,True
FB-000074,2025-01-10T03:00,CG-00073,en,NA,lighting,neutral,mobile,Tahlia Street,The street is dark near Dammam and the lighting needs repair,train,True
FB-000075,2025-01-10T06:00,CG-00074,en,NA,waste,positive,call_centre,Jeddah,Waste is piling up near Al Narjis and causing a strong smell <PHONE>,train,True
FB-000076,2025-01-10T09:00,CG-00075,ar,Gulf,water,negative,chat,حي النرجس,يوجد تسرب مياه في حي النرجس والبلاغ رقم BYN-2026-000075,train,True
FB-000077,2025-01-10T12:00,CG-00076,ar,MSA,billing,negative,web,طريق الملك فهد,تم أحتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-000076,train,True
FB-000078,2025-01-10T15:00,CG-00077,ar,MSA,digital_services,negative,mobile,جدة,تطبيق مواعيد الصيانة يتوقف عند تسجيل الدخول,validation,True
FB-000079,2025-01-10T18:00,CG-00078,en,NA,licensing,neutral,call_centre,Al Olaya,I need clarification on the documents required for Maintenance Appointments — very frustrating 😡,validation,True
FB-000080,2025-01-10T21:00,CG-00079,en,NA,parks,positive,chat,Al Narjis,The path at Tahlia Street is not wheelchair accessible,test,True
FB-000081,2025-01-11T00:00,CG-00080,ar,Gulf,roads,negative,web,طريق الملك فهد,الطريق المؤدي إلى حي الياسمين يحتاج صيانة عاجلة,train,True
FB-000082,2025-01-11T03:00,CG-00081,ar,Gulf,lighting,negative,mobile,جدة,عمود الإنارة معطل في حي العليا منذ أسبوعين,train,True
FB-000083,2025-01-11T06:00,CG-00082,ar,Gulf,waste,negative,call_centre,الرياض,الحاوية ممتلئة في جدة ولم تُفرغ منذ 20 أيام <NATIONAL_ID>,train,True
FB-000084,2025-01-11T09:00,CG-00083,en,NA,water,neutral,chat,Al Yasmin,Water pressure is very low in Tahlia Street,train,True
FB-000085,2025-01-11T12:00,CG-00084,en,NA,billing,positive,web,Tahlia Street,Incorrect fees were charged on invoice BYN-2025-000084,train,True
FB-000086,2025-01-11T15:00,CG-00085,ar,Gulf,digital_services,negative,mobile,الدمام,تطبيق بوابة المرافق يتوقف عند تسجيل الدخول,train,True
FB-000087,2025-01-11T18:00,CG-00086,ar,MSA,licensing,negative,call_centre,طريق الملك فهد,لم تتغير حالة الطلب رقم BYN-2025-000086,train,True
FB-000088,2025-01-11T21:00,CG-00087,ar,MSA,parks,negative,chat,طريق الملك فهد,لووووسمحت الري متوقف في حديقة طريق الملك فهد,validation,True
FB-000089,2025-01-12T00:00,CG-00088,en,NA,roads,neutral,web,Al Narjis,The road leading to Tahlia Street needs urgent maintenance,validation,True
FB-000090,2025-01-12T03:00,CG-00089,en,NA,lighting,positive,mobile,Tahlia Street,The streetlight at Dammam has been out for two weeks,test,True
FB-000091,2025-01-12T06:00,CG-00090,ar,Gulf,waste,negative,call_centre,حي الياسمين,تراكمت النفايات قرب حي العليا وتسبب رائحة قوية,train,True
FB-000092,2025-01-12T09:00,CG-00091,ar,Gulf,water,negative,chat,حي الياسمين,انقطاع المياه مستمر في حي العليا منذ الصباح 😡,train,True
FB-000093,2025-01-12T12:00,CG-00092,ar,Gulf,billing,negative,web,جدة,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,train,True
FB-000094,2025-01-12T15:00,CG-00093,en,NA,digital_services,neutral,mobile,Al Olaya,An error appears when I upload a document in My Licence  ,train,True
FB-000095,2025-01-12T18:00,CG-00094,en,NA,licensing,positive,call_centre,Jeddah,I need clarification on the documents required for Maintenance Appointments,train,True
FB-000096,2025-01-12T21:00,CG-00095,ar,Gulf,parks,negative,chat,حي الياسمين,ألعأب الأطفال في حديقة شارع التحلية تحتاج صيانة,train,True
FB-000097,2025-01-13T00:00,CG-00096,ar,MSA,roads,negative,web,الدمام,حفرة في الطريق أمام حي النرجس منذ 13 أيام,train,True
FB-000098,2025-01-13T03:00,CG-00097,ar,MSA,lighting,negative,mobile,حي العليا,الشارع مظلم قرب شارع التحلية ونحتاج إصلاح الإنارة,validation,True
FB-000099,2025-01-13T06:00,CG-00098,en,NA,waste,neutral,call_centre,Al Narjis,Waste is piling up near Al Narjis and causing a strong smell,validation,True
FB-000100,2025-01-13T09:00,CG-00099,en,NA,water,positive,chat,Al Olaya,Water has been unavailable in Riyadh since this morning,test,True
FB-000101,2025-01-13T12:00,CG-00100,ar,Gulf,billing,negative,web,الرياض,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-000100,train,True
FB-000102,2025-01-13T15:00,CG-00101,ar,Gulf,digital_services,negative,mobile,حي العليا,لا يصل رمز التحقق إلى هاتفي لخدمة رخصتي,train,True
FB-000103,2025-01-13T18:00,CG-00102,ar,Gulf,licensing,negative,call_centre,شارع التحلية,لم تتغير حالة الطلب رقم BYN-2025-000102,train,True
FB-000104,2025-01-13T21:00,CG-00103,en,NA,parks,neutral,chat,Al Yasmin,The playground equipment at King Fahd Road needs maintenance,train,True
FB-000105,2025-01-14T00:00,CG-00104,en,NA,roads,positive,web,Al Narjis,There is a pothole near Tahlia Street for 21 days — very frustrating 😡,train,True
FB-000106,2025-01-14T03:00,CG-00105,ar,Gulf,lighting,negative,mobile,الرياض,الشارع مظلم قرب شارع التحلية ونحتاج إصلاح الإنارة,train,True
FB-000107,2025-01-14T06:00,CG-00106,ar,MSA,waste,negative,call_centre,الدمام,تراكمت النفايات قرب شارع التحلية وتسبب رائحة قوية,train,True
FB-000108,2025-01-14T09:00,CG-00107,ar,MSA,water,negative,chat,حي الياسمين,ضغط المياه منخفض جداً في الدمام,validation,True
FB-000109,2025-01-14T12:00,CG-00108,en,NA,billing,neutral,web,Riyadh,I paid the bill but it still shows as unpaid,validation,True
FB-000110,2025-01-14T15:00,CG-00109,en,NA,digital_services,positive,mobile,Tahlia Street,The Balady app crashes during sign-in,test,True
FB-000111,2025-01-14T18:00,CG-00110,ar,Gulf,licensing,negative,call_centre,حي العليا,لم تتغير حالة الطلب رقم BYN-2025-000110,train,True
FB-000112,2025-01-14T21:00,CG-00111,ar,Gulf,parks,negative,chat,حي العليا,الممر في حديقة طريق الملك فهد غير مناسب للكراسي المتحركة <PHONE>,train,True
FB-000113,2025-01-15T00:00,CG-00112,ar,Gulf,roads,negative,web,الدمام,الطريق المؤدي إلى حي العليا يحتاج صيانة عاجلة,train,True
FB-000114,2025-01-15T03:00,CG-00113,en,NA,lighting,neutral,mobile,Riyadh,The walkway lights are not working at Al Narjis,train,True
FB-000115,2025-01-15T06:00,CG-00114,en,NA,waste,positive,call_centre,Al Narjis,WASTE IS PILING UP NEAR KING FAHD ROAD AND CAUSING A STRONG SMELL,train,True
FB-000116,2025-01-15T09:00,CG-00115,ar,Gulf,water,negative,chat,شارع التحلية,ضغط المياه منخفض جداً في حي الياسمين,train,True
FB-000117,2025-01-15T12:00,CG-00116,ar,MSA,billing,negative,web,الدمام,لووووسمحت دفعت الفاتورة لكن الحالة ما زالت غير مسددة,train,True
FB-000118,2025-01-15T15:00,CG-00117,ar,MSA,digital_services,negative,mobile,شارع التحلية,تطبيق بلدي يتوقف عند تسجيل الدخول 😡,validation,True
FB-000119,2025-01-15T18:00,CG-00118,en,NA,licensing,neutral,call_centre,Jeddah,Request BYN-2025-000118 has not changed status,validation,True
FB-000120,2025-01-15T21:00,CG-00119,en,NA,parks,positive,chat,Tahlia Street,The path at King Fahd Road is not wheelchair accessible,test,True
FB-000121,2025-01-16T00:00,CG-00120,ar,Gulf,roads,negative,web,طريق الملك فهد,حفرة في الطريق أمام الرياض منذ 16 أيام,train,True
FB-000122,2025-01-16T03:00,CG-00121,ar,Gulf,lighting,negative,mobile,الرياض,الشارع مظلم قرب حي العليا ونحتاج إصلاح الإنارة,train,True
FB-000123,2025-01-16T06:00,CG-00122,ar,Gulf,waste,negative,call_centre,حي النرجس,نحتاج حاوية إضافية في جدة,train,True
FB-000124,2025-01-16T09:00,CG-00123,en,NA,water,neutral,chat,Tahlia Street,There is a water leak at Al Olaya; reference BYN-2026-000123 <NATIONAL_ID>,train,True
FB-000125,2025-01-16T12:00,CG-00124,en,NA,billing,positive,web,Dammam,The fees for My Licence are unclear  ,train,True
FB-000126,2025-01-16T15:00,CG-00125,ar,Gulf,digital_services,negative,mobile,حي النرجس,تطبيق خدمات المياه يتوقف عند تسجيل الدخول,train,True
FB-000127,2025-01-16T18:00,CG-00126,ar,MSA,licensing,negative,call_centre,شارع التحلية,لم تتغير حالة الطلب رقم BYN-2025-000126,train,True
FB-000128,2025-01-16T21:00,CG-00127,ar,MSA,parks,negative,chat,حي العليا,الري متوقف في حديقة حي النرجس,validation,True
FB-000129,2025-01-17T00:00,CG-00128,en,NA,roads,neutral,web,Dammam,Damaged asphalt near Riyadh is making driving unsafe,validation,True
FB-000130,2025-01-17T03:00,CG-00129,en,NA,lighting,positive,mobile,Al Olaya,The street is dark near Al Yasmin and the lighting needs repair,test,True
FB-000131,2025-01-17T06:00,CG-00130,ar,Gulf,waste,negative,call_centre,حي العليا,تراكمت النفايات قرب شارع التحلية وتسبب رائحة قوية 😡,train,True
FB-000132,2025-01-17T09:00,CG-00131,ar,Gulf,water,negative,chat,جدة,يوجد تسرب مياه في جدة والبلاغ رقم BYN-2026-000131,train,True
FB-000133,2025-01-17T12:00,CG-00132,ar,Gulf,billing,negative,web,شارع التحلية,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-000132,train,True
FB-000134,2025-01-17T15:00,CG-00133,en,NA,digital_services,neutral,mobile,Riyadh,THE MAINTENANCE APPOINTMENTS APP CRASHES DURING SIGN-IN,train,True
FB-000135,2025-01-17T18:00,CG-00134,en,NA,licensing,positive,call_centre,Dammam,My Maintenance Appointments licence request has been under review for 9 days,train,True
FB-000136,2025-01-17T21:00,CG-00135,ar,Gulf,parks,negative,chat,حي النرجس,الممر في حديقة جدة غير مناسب للكراسي المتحركة,train,True
FB-000137,2025-01-18T00:00,CG-00136,ar,MSA,roads,negative,web,حي الياسمين,الطريق المؤدي إلى حي الياسمين يحتاج صيانة عاجلة,train,True
FB-000138,2025-01-18T03:00,CG-00137,ar,MSA,lighting,negative,mobile,الرياض,إنارة الممر لا تعمل عند حي العليا,validation,True
FB-000139,2025-01-18T06:00,CG-00138,en,NA,waste,neutral,call_centre,King Fahd Road,The waste bin at Al Olaya has not been emptied for 13 days,validation,True
FB-000140,2025-01-18T09:00,CG-00139,en,NA,water,positive,chat,Al Narjis,Water pressure is very low in Al Narjis,test,True
FB-000141,2025-01-18T12:00,CG-00140,ar,Gulf,billing,negative,web,حي العليا,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-000140,train,True
FB-000142,2025-01-18T15:00,CG-00141,ar,Gulf,digital_services,negative,mobile,شارع التحلية,تطبيق مواعيد الصيانة يتوقف عند تسجيل الدخول,train,True
FB-000143,2025-01-18T18:00,CG-00142,ar,Gulf,licensing,negative,call_centre,طريق الملك فهد,لم تتغير حالة الطلب رقم BYN-2025-000142,train,True
FB-000144,2025-01-18T21:00,CG-00143,en,NA,parks,neutral,chat,Al Yasmin,Irrigation is not working in Riyadh park — very frustrating 😡,train,True
FB-000145,2025-01-19T00:00,CG-00144,en,NA,roads,positive,web,Tahlia Street,The road leading to Al Olaya needs urgent maintenance,train,True
FB-000146,2025-01-19T03:00,CG-00145,ar,Gulf,lighting,negative,mobile,حي العليا,لووووسمحت عمود الإنارة معطل في طريق الملك فهد منذ أسبوعين,train,True
FB-000147,2025-01-19T06:00,CG-00146,ar,MSA,waste,negative,call_centre,جدة,الحاوية ممتلئة في جدة ولم تُفرغ منذ 21 أيام,train,True
FB-000148,2025-01-19T09:00,CG-00147,ar,MSA,water,negative,chat,شارع التحلية,يوجد تسرب مياه في طريق الملك فهد والبلاغ رقم BYN-2026-000147,validation,True
FB-000149,2025-01-19T12:00,CG-00148,en,NA,billing,neutral,web,Al Yasmin,Incorrect fees were charged on invoice BYN-2025-000148 <PHONE>,validation,True
FB-000150,2025-01-19T15:00,CG-00149,en,NA,digital_services,positive,mobile,Al Olaya,The Water Services app crashes during sign-in,test,True
FB-000151,2025-01-19T18:00,CG-00150,ar,Gulf,licensing,negative,call_centre,حي النرجس,لم تتغير حالة الطلب رقم BYN-2025-000150,train,True
FB-000152,2025-01-19T21:00,CG-00151,ar,Gulf,parks,negative,chat,حي النرجس,ألعاب الأطفال في حديقة شارع التحلية تحتاج صيانة,train,True
FB-000153,2025-01-20T00:00,CG-00152,ar,Gulf,roads,negative,web,جدة,ألطريق المؤدي إلى طريق الملك فهد يحتاج صيانة عاجلة,train,True
FB-000154,2025-01-20T03:00,CG-00153,en,NA,lighting,neutral,mobile,King Fahd Road,The street is dark near Jeddah and the lighting needs repair,train,True
FB-000155,2025-01-20T06:00,CG-00154,en,NA,waste,positive,call_centre,Jeddah,The waste bin at King Fahd Road has not been emptied for 8 days,train,True
FB-000156,2025-01-20T09:00,CG-00155,ar,Gulf,water,negative,chat,الدمام,يوجد تسرب مياه في شارع التحلية والبلاغ رقم BYN-2026-000155  ,train,True
FB-000157,2025-01-20T12:00,CG-00156,ar,MSA,billing,negative,web,حي العليا,الرسوم في خدمة خدمات المياه غير واضحة 😡,train,True
FB-000158,2025-01-20T15:00,CG-00157,ar,MSA,digital_services,negative,mobile,جدة,لا يصل رمز التحقق إلى هاتفي لخدمة خدمات المياه,validation,True
FB-000159,2025-01-20T18:00,CG-00158,en,NA,licensing,neutral,call_centre,Al Yasmin,Request BYN-2025-000158 has not changed status,validation,True
FB-000160,2025-01-20T21:00,CG-00159,en,NA,parks,positive,chat,Al Narjis,Irrigation is not working in Tahlia Street park,test,True
FB-000161,2025-01-21T00:00,CG-00160,ar,Gulf,roads,negative,web,حي الياسمين,الطريق المؤدي إلى شارع التحلية يحتاج صيانة عاجلة,train,True
FB-000162,2025-01-21T03:00,CG-00161,ar,Gulf,lighting,negative,mobile,حي العليا,إنارة الممر لا تعمل عند شارع التحلية,train,True
FB-000163,2025-01-21T06:00,CG-00162,ar,Gulf,waste,negative,call_centre,حي النرجس,الحاوية ممتلئة في شارع التحلية ولم تُفرغ منذ 16 أيام,train,True
FB-000164,2025-01-21T09:00,CG-00163,en,NA,water,neutral,chat,King Fahd Road,Water has been unavailable in Al Olaya since this morning,train,True
FB-000165,2025-01-21T12:00,CG-00164,en,NA,billing,positive,web,Al Olaya,The fees for My Licence are unclear <NATIONAL_ID>,train,True
FB-000166,2025-01-21T15:00,CG-00165,ar,Gulf,digital_services,negative,mobile,حي العليا,ظهرت رسالة خطأ عند رفع المستند في رخصتي,train,True
FB-000167,2025-01-21T18:00,CG-00166,ar,MSA,licensing,negative,call_centre,الدمام,لم تتغير حالة الطلب رقم BYN-2025-000166,train,True
FB-000168,2025-01-21T21:00,CG-00167,ar,MSA,parks,negative,chat,شارع التحلية,ألعاب الأطفال في حديقة حي العليا تحتاج صيانة,validation,True
FB-000169,2025-01-22T00:00,CG-00168,en,NA,roads,neutral,web,Al Yasmin,Damaged asphalt near Al Narjis is making driving unsafe,validation,True
FB-000170,2025-01-22T03:00,CG-00169,en,NA,lighting,positive,mobile,Al Narjis,The streetlight at King Fahd Road has been out for two weeks — very frustrating 😡,test,True
FB-000171,2025-01-22T06:00,CG-00170,ar,Gulf,waste,negative,call_centre,حي النرجس,الحاوية ممتلئة في حي النرجس ولم تُفرغ منذ 3 أيام,train,True
FB-000172,2025-01-22T09:00,CG-00171,ar,Gulf,water,negative,chat,الرياض,ضغط ألمياه منخفض جداً في جدة,train,True
FB-000173,2025-01-22T12:00,CG-00172,ar,Gulf,billing,negative,web,الدمام,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,train,True
FB-000174,2025-01-22T15:00,CG-00173,en,NA,digital_services,neutral,mobile,Al Yasmin,The Facilities Portal app crashes during sign-in,train,True
FB-000175,2025-01-22T18:00,CG-00174,en,NA,licensing,positive,call_centre,Al Olaya,Request BYN-2025-000174 has not changed status,train,True
FB-000176,2025-01-22T21:00,CG-00175,ar,Gulf,parks,negative,chat,جدة,الممر في حديقة الرياض غير مناسب للكراسي المتحركة,train,True
FB-000177,2025-01-23T00:00,CG-00176,ar,MSA,roads,negative,web,حي النرجس,حفرة في الطريق أمام شارع التحلية منذ 9 أيام,train,True
FB-000178,2025-01-23T03:00,CG-00177,ar,MSA,lighting,negative,mobile,جدة,إنارة الممر لا تعمل عند حي العليا,validation,True
